"","No","SiteID","LON","LAT","BP","Age","GPP","BPE","reference","Forest_type","PFT","species","Tg","g_vpd","soilCN","f","lnvpd","lnCN","lnf","lnage","f_incoparate","lnf_incoparate"
"295",295,51,-123.7799,44.399,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.2101306714757,470.000185932617,11.9393075794621,1,6.15273309030534,2.47983611461303,0,NA,1,0
"296",296,52,-123.7759,44.4213,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.1112680158382,465.235976827637,11.9393518114199,1,6.14254475391311,2.47983981934009,0,NA,1,0
"297",297,53,-123.3266,40.8264,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,11.0829641448804,674.274937373043,11.2270200584412,1,6.51363794668709,2.41832337810025,0,NA,1,0
"298",298,54,-123.3264,40.8387,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.6516066516848,661.637126003413,11.2270800582886,1,6.49471725761786,2.4183287223222,0,NA,1,0
"299",299,55,-123.3261,40.8317,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.8938699672917,668.836168729246,11.2271700580597,1,6.50553914034597,2.41833673860159,0,NA,1,0
"300",300,56,-123.3205,40.8676,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.6101580286287,631.780905502925,11.2288500537872,1,6.44854266553541,2.4184863640225,0,NA,1,0
"301",301,57,-123.3002,42.4789,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,11.3948668287382,650.363521469724,10.8755944014476,1,6.47753147035954,2.38652123308545,0,NA,1,0
"302",302,58,-123.2745,42.4918,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.6292816179053,621.023588208006,10.8593243774132,1,6.43136906544399,2.38502410054597,0,NA,1,0
"303",303,59,-123.2665,42.4725,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,11.0002102561989,637.44680337524,10.8912526721096,1,6.4574708278649,2.38795995990795,0,NA,1,0
"304",304,60,-123.2642,42.4723,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.9923562442712,637.167320342771,10.8919539172163,1,6.45703229037854,2.38802434391901,0,NA,1,0
"305",305,61,-123.2612,42.4778,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.8717230784472,631.955021894525,10.883690733753,1,6.44881822372589,2.38726540575737,0,NA,1,0
"306",306,62,-123.2612,42.4875,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.7076552373767,624.393398498534,10.868235913887,1,6.43678061603339,2.38584439853195,0,NA,1,0
"307",307,63,-123.22,44.6,762,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,11.7819668928782,571.736325073242,11.0160003471374,1,6.34867791494872,2.39934879293847,0,NA,1,0
"308",308,64,-123.1041,40.3893,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.4763854203477,707.278317910639,11.25,1,6.56142424884373,2.42036812865043,0,NA,1,0
"309",309,65,-123.0978,40.3906,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.6116861248612,712.481023640617,11.25,1,6.56875327830127,2.42036812865043,0,NA,1,0
"310",310,66,-123.064,40.3758,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.8766688191795,727.068830205078,11.25,1,6.5890211500878,2.42036812865043,0,NA,1,0
"311",311,67,-123.0623,40.3636,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.7400489955988,723.305925387207,11.25,1,6.58383226597875,2.42036812865043,0,NA,1,0
"312",312,68,-123.062,40.3604,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.703331045014,722.258557924801,11.25,1,6.58238318825476,2.42036812865043,0,NA,1,0
"313",313,69,-123.0563,40.3777,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.939698743086,730.867198241212,11.25,1,6.59423177189289,2.42036812865043,0,NA,1,0
"314",314,70,-122.95,47.87,855,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,8.43650657683574,447.96280822753,15.2064001159668,1,6.10471021161959,2.72171639949221,0,NA,1,0
