"","X","No","SiteID","LON","LAT","BP","Age","GPP","BPE","reference","Forest_type","PFT","species","Tg","g_vpd","soilCN","f","lnvpd","lnCN","lnf","lnage","f_incoparate","lnf_incoparate","Elevation","pH","sand","logitBPE","vpd_12","lnvpd_12","g_ppfd","lng_ppfd","MAT","MTCO"
"155",169,169,169,148.56,-35.21,1268,NA,2531,0.500987751876729,"Collalti 2020, Nature","evergreen","Forest","Pinus radiata",10.9479588301977,580.049877929698,9.52255000000001,1,6.3631140962735,2.25366267007881,0,NA,0.956164383561644,-0.0448254313800644,0.63,6.2,51.3703130616623,0.00395101264668176,580.049877929698,6.3631140962735,35.6755723579727,3.57446620690548,10.9479588301979,3.48471731185934
"156",170,170,170,148.56,-35.21,1661,NA,3439,0.482989241058447,"Collalti 2020, Nature","evergreen","Forest","Pinus radiata",10.9479588301977,580.049877929698,9.52255000000001,1,6.3631140962735,2.25366267007881,0,NA,0.956164383561644,-0.0448254313800644,0.63,6.2,51.3703130616623,-0.068069306460556,580.049877929698,6.3631140962735,35.6755723579727,3.57446620690548,10.9479588301979,3.48471731185934
"157",171,171,171,148.56,-35.21,903,20,2415,0.373913043478261,"Collalti 2020, Nature","evergreen","Forest","Pinus radiata",10.9479588301977,580.049877929698,9.52255000000001,1,6.3631140962735,2.25366267007881,0,2.99573227355399,0.956164383561644,-0.0448254313800644,0.63,6.2,51.3703130616623,-0.515466003322492,580.049877929698,6.3631140962735,35.6755723579727,3.57446620690548,10.9479588301979,3.48471731185934
"158",172,172,172,148.56,-35.21,1141,20,2531,0.450809956538917,"Collalti 2020, Nature","evergreen","Forest","Pinus radiata",10.9479588301977,580.049877929698,9.52255000000001,1,6.3631140962735,2.25366267007881,0,2.99573227355399,0.956164383561644,-0.0448254313800644,0.63,6.2,51.3703130616623,-0.197398676262664,580.049877929698,6.3631140962735,35.6755723579727,3.57446620690548,10.9479588301979,3.48471731185934
"159",173,173,173,148.56,-35.21,1720,20,3438,0.500290866783013,"Collalti 2020, Nature","evergreen","Forest","Pinus radiata",10.9479588301977,580.049877929698,9.52255000000001,1,6.3631140962735,2.25366267007881,0,2.99573227355399,0.956164383561644,-0.0448254313800644,0.63,6.2,51.3703130616623,0.00116346726329672,580.049877929698,6.3631140962735,35.6755723579727,3.57446620690548,10.9479588301979,3.48471731185934
"160",174,174,174,148.56,-35.21,1346,20,2950,0.456271186440678,"Collalti 2020, Nature","evergreen","Forest","Pinus radiata",10.9479588301977,580.049877929698,9.52255000000001,1,6.3631140962735,2.25366267007881,0,2.99573227355399,0.956164383561644,-0.0448254313800644,0.63,6.2,51.3703130616623,-0.175363278221787,580.049877929698,6.3631140962735,35.6755723579727,3.57446620690548,10.9479588301979,3.48471731185934
"161",175,175,175,148.56,-35.21,1477,20,2690,0.54907063197026,"Collalti 2020, Nature","evergreen","Forest","Pinus radiata",10.9479588301977,580.049877929698,9.52255000000001,1,6.3631140962735,2.25366267007881,0,2.99573227355399,0.956164383561644,-0.0448254313800644,0.63,6.2,51.3703130616623,0.196916373587329,580.049877929698,6.3631140962735,35.6755723579727,3.57446620690548,10.9479588301979,3.48471731185934
"162",176,176,176,148.56,-35.21,2285,20,3690,0.619241192411924,"Collalti 2020, Nature","evergreen","Forest","Pinus radiata",10.9479588301977,580.049877929698,9.52255000000001,1,6.3631140962735,2.25366267007881,0,2.99573227355399,0.956164383561644,-0.0448254313800644,0.63,6.2,51.3703130616623,0.486328721560458,580.049877929698,6.3631140962735,35.6755723579727,3.57446620690548,10.9479588301979,3.48471731185934
"163",177,177,177,-84.28,35.95,725,63,1687,0.429756965026675,"Collalti 2020, Nature","deciduous","Forest","Quercus alba, Quercus prinus, Acer rubrum",15.1662659933169,777.693392944334,10.3871999282837,1,6.65633235002939,2.34057427199378,0,4.14313472639153,1,0,0.245,5.49582908173532,30.2496220045984,-0.28284279581103,777.693392944334,6.65633235002939,31.3118793328603,3.44399755694357,15.1662659933169,3.64888294935221
"164",178,178,178,-84.28,35.95,788,83,1559,0.505452212957024,"Collalti 2020, Nature","deciduous","Forest","Quercus alba, Quercus prinus, Acer rubrum",15.1662659933169,777.693392944334,10.3871999282837,1,6.65633235002939,2.34057427199378,0,4.4188406077966,1,0,0.245,5.49582908173532,30.2496220045984,0.0218097162945509,777.693392944334,6.65633235002939,31.3118793328603,3.44399755694357,15.1662659933169,3.64888294935221
